Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,C
3,0,0,0,C
3.5,0,0,0,C
4,0,0,0,C
4.5,0,0,0,C
5,0,0,0,C
5.5,0,0,0,C
6,0,0,0,C
6.5,0,0,0,C
7,0,0,0,C
7.5,0,0,0,C
8,0,0,0,C
8.5,0,0,0,C
9,0,0,0,C
9.5,0,0,0,C
10,0,0,0,C
10.5,0,0,0,C
11,0,0,0,C
11.5,0,0,0,C
12,0,0,0,C
12.5,0,0,0,C
13,0,0,0,C
13.5,0,0,0,C
14,0,0,0,C
14.5,0,0,0,C
15,0,0,0,C
15.5,0,0,0,C
16,0,0,0,C
16.5,0,0,0,C
17,0,0,0,C
17.5,0,0,0,C
18,0,0,0,C
18.5,0,0,0,C
19,0,0,0,C
19.5,0,0,0,C
20,0,0,0,C
20.5,0,0,0,C
21,0,0,0,C
21.5,0,0,0,C
22,0,0,0,C
22.5,0,0,0,C
23,0,0,0,C
23.5,0,0,0,C
24,0,0,0,C
24.5,0,0,0,C
25,0,0,0,C
25.5,0,0,0,C
26,0,0,0,C
26.5,0,0,0,C
27,0,0,0,C
27.5,0,0,0,C
28,0,0,0,C
28.5,0,0,0,C
29,0,0,0,C
29.5,0,0,0,C
30,0,0,0,C
30.5,0,0,0,C
31,0,0,0,C
31.5,0,0,0,C
32,0,0,0,C
32.5,0,0,0,C
33,0,0,0,C
33.5,0,0,0,C
34,0,0,0,C
34.5,0,0,0,C
35,0,0,0,C
35.5,0,0,0,C
36,0,0,0,C
36.5,0,0,0,C
37,0,0,0,C
37.5,0,0,0,C
38,0,0,0,C
38.5,0,0,0,C
39,0,0,0,C
39.5,0,0,0,C
40,0,0,0,C
40.5,0,0,0,C
41,0,0,0,C
41.5,0,0,0,C
42,0,0,0,C
42.5,0,0,0,C
43,0,0,0,C
43.5,0,0,0,C
44,0,0,0,C
44.5,0,0,0,C
45,0,0,0,C
45.5,0,0,0,C
46,0,0,0,C
46.5,0,0,0,C
47,0,0,0,C
47.5,0,0,0,C
48,0,0,0,C
48.5,0,0,0,C
49,0,0,0,C
49.5,0,0,0,C
50,0,0,0,C
50.5,0,0,0,C
51,0,0,0,C
51.5,0,0,0,C
52,0,0,0,C
52.5,0,0,0,C
53,0,0,0,C
53.5,0,0,0,C
54,0,0,0,C
54.5,0,0,0,C
55,0,0,0,C
55.5,0,0,0,C
56,0,0,0,C
56.5,0,0,0,C
57,0,0,0,C
57.5,0,0,0,C
58,0,0,0,C
58.5,0,0,0,C
59,0,0,0,C
59.5,0,0,0,C
60,0,0,0,C
60.5,0,0,0,C
61,0,0,0,C
61.5,0,0,0,C
62,0,0,0,C
62.5,0,0,0,C
63,0,0,0,C
63.5,0,0,0,C
64,0,0,0,C
64.5,0,0,0,C
65,0,0,0,C
65.5,0,0,0,C
66,0,0,0,C
66.5,0,0,0,C
67,0,0,0,C
67.5,0,0,0,C
68,0,0,0,C
68.5,0,0,0,C
69,0,0,0,C
69.5,0,0,0,C
70,0,0,0,C
70.5,0,0,0,C
71,0,0,0,C
71.5,0,0,0,C
72,0,0,0,C
72.5,0,0,0,C
73,0,0,0,C
73.5,0,0,0,C
74,0,0,0,C
74.5,0,0,0,C
75,0,0,0,C
75.5,0,0,0,C
76,0,0,0,C
76.5,0,0,0,C
77,0,0,0,C
77.5,0,0,0,C
78,0,0,0,C
78.5,0,0,0,C
79,0,0,0,C
79.5,0,0,0,C
80,0,0,0,C
80.5,0,0,0,C
81,0,0,0,C
81.5,0,0,0,C
82,0,0,0,C
82.5,0,0,0,C
83,0,0,0,C
83.5,0,0,0,C
84,0,0,0,C
84.5,0,0,0,C
85,0,0,0,C
85.5,0,0,0,C
86,0,0,0,C
86.5,0,0,0,C
87,0,0,0,C
87.5,0,0,0,C
88,0,0,0,C
88.5,0,0,0,C
89,0,0,0,C
89.5,0,0,0,C
90,0,0,0,C
90.5,0,0,0,C
91,0,0,0,C
91.5,0,0,0,C
92,0,0,0,C
92.5,0,0,0,C
93,0,0,0,C
93.5,0,0,0,C
94,0,0,0,C
94.5,0,0,0,C
95,0,0,0,C
95.5,0,0,0,C
96,0,0,0,C
96.5,0,0,0,C
97,0,0,0,C
97.5,0,0,0,C
98,0,0,0,C
98.5,0,0,0,C
99,0,0,0,C
99.5,0,0,0,C
100,0,0,0,C
100.5,0,0,0,C
101,0,0,0,C
101.5,0,0,0,C
102,0,0,0,C
102.5,0,0,0,C
103,0,0,0,C
103.5,0,0,0,C
104,0,0,0,C
104.5,0,0,0,C
105,0,0,0,C
105.5,0,0,0,C
106,0,0,0,C
106.5,0,0,0,C
107,0,0,0,C
107.5,0,0,0,C
108,0,0,0,C
108.5,0,0,0,C
109,0,0,0,C
109.5,0,0,0,C
110,0,0,0,C
110.5,0,0,0,C
111,0,0,0,C
111.5,0,0,0,C
112,0,0,0,C
112.5,0,0,0,C
113,0,0,0,C
113.5,0,0,0,C
114,0,0,0,C
114.5,0,0,0,C
115,0,0,0,C
115.5,0,0,0,C
116,0,0,0,C
116.5,0,0,0,C
117,0,0,0,C
117.5,0,0,0,C
118,0,0,0,C
118.5,0,0,0,C
119,0,0,0,C
119.5,0,0,0,C
120,0,0,0,C
120.5,0,0,0,C
121,0,0,0,C
121.5,0,0,0,C
122,0,0,0,C
122.5,0,0,0,C
123,0,0,0,C
123.5,0,0,0,C
124,0,0,0,C
124.5,0,0,0,C
125,0,0,0,C
125.5,0,0,0,C
126,0,0,0,C
126.5,0,0,0,C
127,0,0,0,C
127.5,0,0,0,C
128,0,0,0,C
128.5,0,0,0,C
129,0,0,0,C
129.5,0,0,0,C
130,0,0,0,C
130.5,0,0,0,C
131,0,0,0,C
131.5,0,0,0,C
132,0,0,0,C
132.5,0,0,0,C
133,0,0,0,C
133.5,0,0,0,C
134,0,0,0,C
134.5,0,0,0,C
135,0,0,0,C
135.5,0,0,0,C
136,0,0,0,C
136.5,0,0,0,C
137,0,0,0,C
137.5,0,0,0,C
138,0,0,0,C
138.5,0,0,0,C
139,0,0,0,C
139.5,0,0,0,C
140,0,0,0,C
140.5,0,0,0,C
141,0,0,0,C
141.5,0,0,0,C
142,0,0,0,C
142.5,0,0,0,C
143,0,0,0,C
143.5,0,0,0,C
144,0,0,0,C
144.5,0,0,0,C
145,0,0,0,C
145.5,0,0,0,C
146,0,0,0,C
146.5,0,0,0,C
147,0,0,0,C
147.5,0,0,0,C
148,0,0,0,C
148.5,0,0,0,C
149,0,0,0,C
149.5,0,0,0,C
150,0,0,0,C
150.5,0,0,0,C
151,0,0,0,C
151.5,0,0,0,C
152,0,0,0,C
152.5,0,0,0,C
153,0,0,0,C
153.5,0,0,0,C
154,0,0,0,C
154.5,0,0,0,C
155,0,0,0,C
155.5,0,0,0,C
156,0,0,0,C
156.5,0,0,0,C
157,0,0,0,C
157.5,0,0,0,C
158,0,0,0,C
158.5,0,0,0,C
159,0,0,0,C
159.5,0,0,0,C
160,0,0,0,C
160.5,0,0,0,C
161,0,0,0,C
161.5,0,0,0,C
162,0,0,0,C
162.5,0,0,0,C
163,0,0,0,C
163.5,0,0,0,C
164,0,0,0,C
164.5,0,0,0,C
165,0,0,0,C
165.5,0,0,0,C
166,0,0,0,C
166.5,0,0,0,C
167,0,0,0,C
167.5,0,0,0,C
168,0,0,0,C
168.5,0,0,0,C
169,0,0,0,C
169.5,0,0,0,C
170,0,0,0,C
170.5,0,0,0,C
171,0,0,0,C
171.5,0,0,0,C
172,0,0,0,C
172.5,0,0,0,C
173,0,0,0,C
173.5,0,0,0,C
174,0,0,0,C
174.5,0,0,0,C
175,0,0,0,C
175.5,0,0,0,C
176,0,0,0,C
176.5,0,0,0,C
