Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,C
3,0,0,0,P2
3.5,0,0,0,P2
4,0,0,0,P2
4.5,0,0,0,P2
5,0,0,0,
5.5,0,0,0,
6,0,0,0,
6.5,0,0,0,
7,0,0,0,
7.5,0,0,0,
8,0,0,0,
8.5,0,0,0,
9,0,0,0,P2
9.5,0,0,0,P2
10,0,0,0,C
10.5,0,0,0,C
11,0,0,0,C
11.5,0,0,0,
12,0,0,0,
12.5,0,0,0,H-0-10-5:
13,0,0,0,H-0-10-5:
13.5,0,0,0,H-0-10-5:
14,0,0,0,
14.5,0,0,0,
15,0,0,0,H-1-10-5:
15.5,0,0,0,H-1-10-5:
16,0,0,0,H-1-10-5:
16.5,0,0,0,H-3-5-2:B
17,0,0,0,H-3-5-2:B
17.5,0,0,0,L
18,0,0,0,L
18.5,0,0,0,L
19,0,0,0,
19.5,0,0,0,
20,0,0,0,
20.5,0,0,0,
21,0,0,0,
21.5,0,0,0,P2
22,0,0,0,P2
22.5,0,0,0,C
23,0,0,0,C
23.5,0,0,0,C
24,0,0,0,
24.5,0,0,0,
25,0,0,0,
25.5,0,0,0,
26,0,0,0,
26.5,0,0,0,
27,0,0,0,
27.5,0,0,0,
28,0,0,0,
28.5,0,0,0,
29,0,0,0,
29.5,0,0,0,
30,0,0,0,
30.5,0,0,0,
31,0,0,0,
31.5,0,0,0,
32,0,0,0,
32.5,0,0,0,
33,0,0,0,
33.5,0,0,0,
34,0,0,0,H-3-20-4.383759:
34.5,0,0,0,H-3-20-4.383759:
35,0,0,0,H-2-11-3.472578:C
