Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,C
3,0,0,0,C
3.5,0,0,0,C
4,0,0,0,C
4.5,0,0,0,C
5,0,0,0,C
5.5,0,0,0,C
6,0,0,0,C
6.5,0,0,0,C
7,0,0,0,C
7.5,0,0,0,C
8,0,0,0,P3
8.5,0,0,0,P3
9,0,0,0,P3
9.5,0,0,0,P3
10,0,0,0,P3
10.5,0,0,0,
11,0,0,0,
11.5,0,0,0,
12,0,0,0,
12.5,0,0,0,
13,0,0,0,
13.5,0,0,0,
14,0,0,0,P3
14.5,0,0,0,P3
15,0,0,0,P3
15.5,0,0,0,C
16,0,0,0,C
16.5,0,0,0,
17,0,0,0,
17.5,0,0,0,
18,0,0,0,H-0-10-5:
18.5,0,0,0,H-0-10-5:
19,0,0,0,
19.5,0,0,0,
20,0,0,0,
20.5,0,0,0,H-1-10-5:
21,0,0,0,H-1-10-5:
21.5,0,0,0,H-3-5-2:B
22,0,0,0,H-3-5-2:B
22.5,0,0,0,H-3-5-2:B
23,0,0,0,L
23.5,0,0,0,L
24,0,0,0,
24.5,0,0,0,
25,0,0,0,
25.5,0,0,0,
26,0,0,0,
26.5,0,0,0,P3
27,0,0,0,P3
27.5,0,0,0,P3
28,0,0,0,C
28.5,0,0,0,C
29,0,0,0,
29.5,0,0,0,
30,0,0,0,
30.5,0,0,0,
31,0,0,0,
31.5,0,0,0,
32,0,0,0,
32.5,0,0,0,
33,0,0,0,
33.5,0,0,0,
34,0,0,0,
34.5,0,0,0,
35,0,0,0,
35.5,0,0,0,
36,0,0,0,
36.5,0,0,0,
37,0,0,0
